2,,tree1              ,=,=,=,=
3,,tree2              ,=,=,=,=
4,,treePlatanus       ,=,=,=,=
5,,treeCycas          ,=,=,=,=
6,,treeAspan          ,=,=,=,=
7,,treeNoLeaves       ,=,=,=,=
8,,treeFir            ,=,=,=,=
9,,treeFirSnow        ,=,=,=,=
10,,treeBush           ,=,=,=,=
11,,treePalm02         ,=,=,=,=
12,,treePalm01         ,=,=,=,=
13,,treeBush01         ,=,=,=,=
14,,mushroom01         ,=,=,=,=

15,,road               ,=,=,=,=
16,,box01              ,=,=,=,=
17,,box02              ,=,=,=,=
18,,candle             ,=,=,=,=

22,,hut                ,=,=,=,=
23,,starship           ,=,=,=,=
24,,starship2          ,=,=,=,=
27,,outerHouse         ,=,=,=,=
28,,tower01            ,=,=,=,=
29,,house              ,=,=,=,=


30,,rideRoll1          ,=,=,=,=
31,,rideRoll2          ,=,=,=,=
32,,rideRoll3          ,=,=,=,=
33,,rideRoll4          ,=,=,=,=
34,,rideRoll5          ,=,=,=,=
35,,rideChunmack       ,=,=,=,=
36,,rideFerrisWheel    ,=,=,=,=
37,,rideTower          ,=,=,=,=
38,,rideViking         ,=,=,=,=



50,,rock1              ,=,=,=,=
51,,rock2              ,=,=,=,=
52,,rock3              ,=,=,=,=
53,,rock4              ,=,=,=,=
54,,rock5              ,=,=,=,=
55,,rock6              ,=,=,=,=
56,,rock7              ,=,=,=,=
57,,rock8              ,=,=,=,=
58,,rock9              ,=,=,=,=
59,,rock10             ,=,=,=,=

60,,house01            ,=,=,=,=
61,,house01            ,=,=,=,=
62,,house01            ,=,=,=,=
63,,house01            ,=,=,=,=
64,,house01            ,=,=,=,=
65,,house01            ,=,=,=,=
66,,house01            ,=,=,=,=
67,,house01            ,=,=,=,=
68,,house01            ,=,=,=,=
69,,chimney            ,=,=,=,=

70,,house02            ,=,=,=,=
71,,house02            ,=,=,=,=
72,,house02            ,=,=,=,=
73,,house02            ,=,=,=,=
74,,house02            ,=,=,=,=
75,,house02            ,=,=,=,=
76,,house02            ,=,=,=,=
77,,house02            ,=,=,=,=
78,,house02            ,=,=,=,=
79,,shed               ,=,=,=,=

80,,balloon001         ,=,=,=,=
81,,balloon002         ,=,=,=,=
84,,sailer             ,=,=,=,=
85,,sailer2            ,=,=,=,=
86,,mine               ,=,=,=,=
87,,mine2              ,=,=,=,=
88,,station            ,=,=,=,=
89,,sailer             ,=,=,=,=

90,,stump              ,=,=,=,=
91,,cart               ,=,=,=,=
92,,dragon             ,=,=,=,=
93,,teapot             ,=,=,=,=
94,,viaduct            ,=,=,=,=
95,,bridge01           ,=,=,=,=
75,,castlegate       ,=,=,=,=
76,,castletower      ,=,=,=,=
77,,castlewall       ,=,=,=,=
96,,waterfall01        ,=,=,=,=


150,,streetMiddle       ,=,=,=,=
151,,streetSide         ,=,=,=,=
152,,streetNode         ,=,=,=,=
153,,streetConner       ,=,=,=,=

160,,tower              ,=,=,=,=
161,,lamp               ,=,=,=,=
162,,fence              ,=,=,=,=
163,,mileage            ,=,=,=,=
164,,mailbox            ,=,=,=,=

101,,tree0              ,=,=,=,=
102,,tree1              ,=,=,=,=
103,,tree2              ,=,=,=,=
104,,flower0            ,=,=,=,=
105,,tree3              ,=,=,=,=
106,,tree4              ,=,=,=,=
107,,tree5              ,=,=,=,=
108,,tree6              ,=,=,=,=
109,,tree7              ,=,=,=,=
110,,flower1            ,=,=,=,=
111,,tree8              ,=,=,=,=
112,,flower2            ,=,=,=,=
113,,tree9              ,=,=,=,=
114,,tree10             ,=,=,=,=
115,,flower3            ,=,=,=,=
116,,tree11             ,=,=,=,=
117,,tree12             ,=,=,=,=

180,,tree11             ,=,=,=,=
181,,house10            ,=,=,=,=
182,,tree12             ,=,=,=,=
183,,tree15            ,=,=,=,=
184,,tree16             ,=,=,=,=
185,,tree17            ,=,=,=,=

200,,house10           ,=,=,=,=
201,,house11           ,=,=,=,=
